NAME,PubChem CID,MOLECULAR_WEIGHT,HYDROGEN_BOND_DONOR_COUNT,HYDROGEN_BOND_ACCEPTOR_COUNT,TOPOLOGICAL_POLAR_SURFACE_AREA,HEAVY_ATOM_COUNT,FORMAL_CHARGE,COMPLEXITY,MELTING_POINT (K),BOILING_POINT (K),SOLUBILITY (mg/L),logP,DENSITY,pH,pKa,DISSOCIATION_CONSTANT,COLLISION_CROSS_SECTION,LABEL,DATASET
repaglinide,65981,452.6,2,5,78.9,33,0,619,403.65,,2.94,5.9,,,,,,0,
nateglinide,5311309,317.4,2,3,66.4,23,0,393,412.15,,8.48,2.4,,,,,"178.6 Å² [M+H]+ [CCS Type: TW, Method: calibrated with polyalanine and drug standards]",0,
miglitol,441314,207.22,5,6,104,14,0,179,387.15,,610000,-2.7,,,5.9,,"141 Å² [M+H]+ [CCS Type: TW, Method: calibrated with polyalanine and drug standards]",0,
acarbose,41774,645.6,14,19,321,44,0,962,363.15,,108000,-6.8,,,,,"231 Å² [M+H]+ [CCS Type: TW, Method: calibrated with polyalanine and drug standards]",0,
pioglitazone,4829,356.4,1,5,93.6,25,0,466,466.65,,4.42,3.25,,,5.19,,,0,
rosiglitazone,77999,357.4,1,6,96.8,25,0,469,395.65,,38,2.4,,,,,"172.6 Å² [M+H]+ [CCS Type: TW, Method: calibrated with polyalanine and drug standards]",0,
sitagliptin,4369359,407.31,1,10,77,28,0,566,388.15,,34,1.5,,,,,,0,
saxagliptin,11243969,315.4,2,4,90.4,23,0,609,378.15,,2260,0.98,,,7.9,,,0,
alogliptin,11450633,339.4,1,5,93.7,25,0,622,401.15,,580,0.91,,,,,,0,
linagliptin,10096344,472.5,1,7,114,35,0,885,466.15,,50.2,2.71,,,,,,0,
glimepiride,3476,490.6,3,5,133,34,0,895,480.15,,38.4,2.97,,,,,"216.6 Å² [M+H]+ [CCS Type: TW, Method: Major Mix IMS/Tof Calibration Kit (Waters)]",0,
glyburide,3488,494,3,5,122,33,0,746,442.15,,2.06,3.754,,,,,"204.7 Å² [M+H]+ [CCS Type: TW, Method: Major Mix IMS/Tof Calibration Kit (Waters)]",0,
chlorpropamide,2727,276.74,2,3,83.6,17,0,345,402.65,,258,2.27,,,5.13,,"158.5 Å² [M+H]+ [CCS Type: TW, Method: calibrated with polyalanine and drug standards]",0,
glipizide,3478,445.5,3,6,139,31,0,697,474.65,,37.2,1.91,,,5.9,,"198.9 Å² [M+H]+ [CCS Type: TW, Method: Major Mix IMS/Tof Calibration Kit (Waters)]",0,
