PubChem CID,MOLECULAR_WEIGHT,HYDROGEN_BOND_DONOR_COUNT,HYDROGEN_BOND_ACCEPTOR_COUNT,TOPOLOGICAL_POLAR_SURFACE_AREA,HEAVY_ATOM_COUNT,COMPLEXITY,MELTING_POINT (K),SOLUBILITY (mg/L),logP,LABEL
65981,452.6,2,5,78.9,33,619,403.65,2.94,5.9,0
5311309,317.4,2,3,66.4,23,393,412.15,8.48,2.4,0
441314,207.22,5,6,104,14,179,387.15,610000,-2.7,0
41774,645.6,14,19,321,44,962,363.15,108000,-6.8,0
4829,356.4,1,5,93.6,25,466,466.65,4.42,3.25,0
77999,357.4,1,6,96.8,25,469,395.65,38,2.4,0
4369359,407.31,1,10,77,28,566,388.15,34,1.5,0
11243969,315.4,2,4,90.4,23,609,378.15,2260,0.98,0
11450633,339.4,1,5,93.7,25,622,401.15,580,0.91,0
10096344,472.5,1,7,114,35,885,466.15,50.2,2.71,0
3476,490.6,3,5,133,34,895,480.15,38.4,2.97,0
3488,494,3,5,122,33,746,442.15,2.06,3.754,0
2727,276.74,2,3,83.6,17,345,402.65,258,2.27,0
3478,445.5,3,6,139,31,697,474.65,37.2,1.91,0
5505,270.35,2,3,83.6,18,354,401.65,109,2.34,0
5503,311.4,2,4,86.9,21,431,444.65,65.4,2.69,0
4091,129.16,3,1,91.5,9,132,497.65,200000,-2.6,0
31101,654.6,3,6,118,43,1230,489.65,85.8,3.5,0
9887712,408.9,4,6,99.4,28,472,338.15,173,2.7,0
24812758,444.5,4,7,118,31,574,343.15,4.5,3.44,0
11949646,450.9,4,7,109,31,558,423.15,280,1.725,0
44814423,436.9,4,7,109,30,586,415.15,119,2.265,0
16134956,3751,54,55,1510,266,8760,455.15,1100,6.13,0
1978,336.4,3,5,87.7,24,401,410.15,259,1.71,1
16231,229.63,4,5,159,15,279,513.65,616,-0.3,1
2162,408.9,2,7,99.9,28,647,473.15,7.4,3,1
2249,266.34,3,4,84.6,19,263,432.15,13300,0.16,1
135415867,456.4,2,7,115,34,783,486.15,7.03,5.5,1
5362124,424.5,2,6,95.9,31,619,407.15,10.5,1.3,1
2315,421.4,3,10,135,27,740,495.65,108,1.89,1
2369,307.4,2,4,50.7,22,286,344.15,451,2.81,1
2405,325.4,2,5,60,23,278,374.65,70.7,2.2,1
2583,292.37,3,4,70.6,21,354,543.15,421,1.1,1
2585,406.5,3,5,75.7,30,508,387.15,88000,3.8,1
2720,295.7,2,6,135,17,532,921.65,266,-0.24,1
2732,338.8,3,5,118,22,564,512.15,120,0.85,1
5282138,492.5,1,8,120,36,896,383.15,0.566,4.7,1
153994,456.3,1,7,90.9,30,748,402.15,2.67,4.5,1
2803,230.09,2,1,36.4,14,222,403.15,480,1.59,1
12492,345.8,2,5,101,22,498,519.15,139,1.9,1
39186,414.5,0,6,84.4,29,565,460.65,465,2.8,1
3157,451.5,1,9,112,33,678,549.15,790,2.1,1
5388962,376.4,2,6,95.9,27,519,416.9,16400,0.07,1
15671,425.9,3,11,160,24,662,476.15,346,1,1
443872,414.5,0,6,82.2,30,907,514.15,9.03,1.3,1
55891,563.7,1,7,110,39,850,424.15,1.01,6.3,1
3440,330.74,3,7,131,21,481,493.15,73.1,2.03,1
5702063,231.08,2,2,76.8,14,228,499.15,88.9,3.2,1
3519,246.09,2,1,81.5,15,256,487.15,1000,0.857,1
3639,297.7,3,7,135,17,494,798.15,722,-0.07,1
3702,365.8,2,5,101,24,580,434.15,34.2,8.8,1
33625,347.5,2,2,48.1,26,454,482.15,8.63,3.3,1
3749,428.5,1,5,87.1,32,682,453.65,8.84,4.5,1
3784,371.4,1,8,104,27,685,442.15,228,4.28,1
9822750,408.9,2,7,99.9,28,647,411.15,81000,3.3,1
5362119,405.5,4,7,133,29,550,421.15,97000,-1.01,1
3961,422.9,2,5,92.5,30,520,455.15,4.7,1.19,1
4170,365.8,2,5,101,24,594,529.15,60.3,2.5,1
4121,360.2,2,7,126,20,571,498.15,11.2,1.42,1
4810,241.68,2,4,71.4,16,275,474.15,114,1.26,1
39147,309.4,4,5,82,22,344,400.15,8330,0.81,1
71301,405.4,3,7,71,29,483,498.15,910,4.183,1
4474,479.5,1,8,114,35,856,410.15,2.2,3.82,1
4485,346.3,1,7,110,25,608,446.15,17.7,2.2,1
4497,418.4,1,8,120,30,736,398.15,12,3.05,1
4499,388.4,1,7,110,28,704,424.65,5.77,3.26,1
4507,360.4,1,7,110,26,661,431.15,14.2,2.88,1
158781,446.5,3,7,130,33,656,450.75,10.5,0.73,1
4631,265.35,2,4,50.7,19,246,352.15,680,2.1,1
37464,291.4,2,3,41.5,21,294,343.15,21.2,4.15,1
107807,368.5,2,6,95.9,26,524,373.65,1220,2.6,1
4768,303.8,0,2,12.5,21,262,312.15,10.3,4.7,1
5775,281.35,2,3,47.9,21,363,447.65,272,3.3,1
4828,248.32,3,3,57.3,18,248,444.15,7880,1.75,1
4870,439.9,2,11,152,25,692,487.15,264,1.9,1
4893,383.4,1,8,107,28,544,551.65,1400,1.3,1
4946,259.34,2,3,41.5,19,257,369.15,61.7,3.48,1
54892,438.5,2,6,95.9,32,648,398.15,8.5,0.86,1
5362129,416.5,2,6,95.9,30,619,382.15,3.5,2.9,1
5504,160.22,1,1,24.4,12,169,447.15,373,2.65,1
41781,348.4,3,5,109,24,518,436.65,59.6,3.356,1
5484727,430.5,2,6,95.9,31,634,394.15,20.7,3.5,1
5546,253.26,3,7,130,19,307,589.15,963,0.98,1
60846,435.5,2,6,112,32,608,389.65,23.4,1.499,1
2520,454.6,0,6,64,33,606,298.15,3.94,5.1,1
3637,160.18,2,4,63.8,12,150,445.65,1000,1,1
51045,363.5,3,4,81.1,27,515,459.15,7.44,3.45,1
2471,364.4,3,7,127,25,528,503.65,25.7,2.6,1
2541,440.5,2,7,119,33,660,457.15,7.45,3.52,1
44093,217.29,2,4,58.6,14,244,376.65,4520,0.34,1
5281037,424.5,2,6,121,30,618,522.15,8.66,3.9,1
3278,303.13,1,4,63.6,19,370,394.65,19.4,3.3,1
3333,384.2,1,5,64.6,25,614,416.15,19.7,3.86,1
9870652,501.6,1,6,123,36,849,966.15,4.69,4.15,1
3869,328.4,4,4,95.6,24,385,461.15,5.78,1.81,1
65866,611.7,1,8,114,45,1090,394.15,0.156,6.4,1
38853,211.21,4,5,104,15,246,573.15,10000,-1.7,1
4171,267.36,2,4,50.7,19,215,393.15,402,2.15,1
91270,498.6,2,8,114,36,742,428.15,5.85,2.7,1
5833,416.6,0,5,85.7,29,818,407.65,1.98,2.78,1
65999,514.6,1,4,72.9,39,831,535.15,3.5,7.7,1
5401,387.4,1,8,103,28,544,545.15,1500,1.15,1
33624,316.42,2,8,108,21,310,475.65,269,1.8,1
26618,354.8,3,5,118,23,526,526.65,24.6,2.81,1
4201,209.25,3,3,88.9,15,329,521.15,2200,1.24,1
